Nombre,Edad,Altura,Posicion,Equipo,Liga,ELO,Partidos_jugados,Partidos_titular,Goles,Asistencias,Tarjetas_amarillas,Valor_Mercado,Goles_por_partido,Asistencias_por_partido,Participacion_goles,Participacion_por_partido,Posición_Club,Aporte_Goles,Aporte_Puntos,RC,IDR,Impacto_Total
Jesús Bernal,22.0,185.0,Defensas,REAL APODACA,Liga Premier Serie A Grupo A,40.0,1,0,0.0,0.0,0.0,71000.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,6.0,0.068
Emmanuel Garza,19.0,168.0,Defensas,REAL APODACA,Liga Premier Serie A Grupo A,30.0,11,3,0.0,0.0,0.0,14000.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.55,0.074
José Hernández,20.0,174.0,Defensas,REAL APODACA,Liga Premier Serie A Grupo A,35.0,2,0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,3.0,0.044
Fermín Díaz,24.0,180.0,Delanteros,MEXICALI FC,Liga Premier Serie A Grupo A,29.0,12,2,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-2.42,0.05
Carlos Andrade,24.0,178.0,Delanteros,MEXICALI FC,Liga Premier Serie A Grupo A,33.0,12,9,0.0,0.0,0.0,28000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-2.42,0.05
Juan Sandoval,22.0,170.0,Centrocampistas,LOS CABOS,Liga Premier Serie A Grupo A,26.0,11,4,0.0,0.0,1.0,4000.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,1.18,0.081
J. Bautista,19.0,175.0,Delanteros,MEXICALI FC,Liga Premier Serie A Grupo A,32.0,13,13,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-2.23,0.058
Edgar Beltran,20.0,166.0,Centrocampistas,LOS CABOS,Liga Premier Serie A Grupo A,27.0,10,1,0.0,0.0,2.0,5000.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,1.3,0.076
Renato Gonzalez,18.0,171.0,Centrocampistas,LOS CABOS,Liga Premier Serie A Grupo A,26.0,2,0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,6.5,0.08
Kevin Dieguez,16.0,167.0,Delanteros,LOS CABOS,Liga Premier Serie A Grupo A,26.0,2,0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,6.5,0.08
W. Jiménez,25.0,188.0,Defensas,MEXICALI FC,Liga Premier Serie A Grupo A,42.0,11,11,1.0,0.0,2.0,47000.0,0.09,0.0,1.0,0.09,12,16.67,inf,0.0,-2.64,0.095
Cristo Torres,24.0,192.0,Defensas,MEXICALI FC,Liga Premier Serie A Grupo A,46.0,6,6,0.0,0.0,0.0,89000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-4.83,-0.012
A. Nungaray,20.0,186.0,Defensas,MEXICALI FC,Liga Premier Serie A Grupo A,34.0,8,8,0.0,0.0,2.0,9000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-3.62,0.013
Luis Váldez,23.0,183.0,Defensas,MEXICALI FC,Liga Premier Serie A Grupo A,33.0,10,10,0.0,0.0,4.0,11000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-2.9,0.032
Luis Rivera,20.0,177.0,Defensas,MEXICALI FC,Liga Premier Serie A Grupo A,39.0,8,4,0.0,0.0,0.0,33000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-3.62,0.013
Diego Moreno,24.0,172.0,Defensas,MEXICALI FC,Liga Premier Serie A Grupo A,26.0,1,0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-29.0,-0.294
Daniel Campos,19.0,182.0,Defensas,MEXICALI FC,Liga Premier Serie A Grupo A,26.0,1,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-29.0,-0.294
C. Moreno,21.0,170.0,Defensas,MEXICALI FC,Liga Premier Serie A Grupo A,26.0,2,1,1.0,0.0,0.0,1000.0,0.5,0.0,1.0,0.5,12,16.67,inf,0.0,-14.5,0.162
M. Valencia,21.0,175.0,Defensas,MEXICALI FC,Liga Premier Serie A Grupo A,26.0,4,4,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-7.25,-0.05
